Tipo,"Denominación",N°,Fecha,"Medio de publicación y fecha","Fecha de última actualización","Efectos Generales","Descripción del objeto del acto"
Instrucción,"Instrucción General N°11",s/n,27.12.2013,"Diario Oficial
30.01.2014","Sin modificaciones","Sí","Instrucciones generales sobre Transparencia Activa, en las que se introducen modificaciones a las Instrucciones Generales Nº 4, 7 y 9, y se fija un texto refundido, coordinado y sistematizado de las mismas, cuyo finalidad es incorporar algunas precisiones sobre la materia y consolidar en un único texto la regulación sobre Transparencia Activa emanada de esta Corporación, con el objeto de facilitar la comprensión y utilización de los mencionados instrumentos normativos."
Instrucción,"Instrucción General N°10",10,28.10.2011,"Diario Oficial
17.12.2011","Sin modificaciones","Sí","Procedimiento administrativo sobre el Derecho de Acceso a la Información"
Instrucción,"Instrucción General N°9",9,10.08.2010,"Diario Oficial
20.08.2010","Sin modificaciones","Sí","Modifica las instrucciones generales N°4 y N°7"
Instrucción,"Instrucción General N°8",8,10.08.2010,"Diario Oficial
20.08.2010","Sin modificaciones","Sí","Obligación de informar de los antecedentes preparatorios de las normas jurídicas generales que afecten a empresas de menor tamaño"
Instrucción,"Instrucción General N°7",7,18.05.2010,"Diario Oficial
25.05.2010","Diario Oficial 20.08.2010","Sí","Complementa la Instrucción General N°4"
Instrucción,"Instrucción General N°6 sobre gratuidad y costos directos de reproducción",6,22.03.2010,"Diario Oficial
30.03.2010","Sin modificaciones","Sí","Sobre gratuidad y costos directos de reproducción"
Instrucción,"Instrucción General N°5 sobre Transparencia Activa para Empresas Públicas, Empresas del Estado y Sociedades del Estado",5,19.01.2010,"Diario Oficial
3.02.2010","Sin modificaciones","Sí","Sobre Transparencia Activa para Empresas Públicas, Empresas del Estado y Sociedades del Estado"
Instrucción,"Instrucción General N°4 sobre Transparencia Activa",4,19.01.2010,"Diario Oficial
3.02.2010","Diario Oficial 20.08.2010","Sí","Sobre Transparencia Activa"
Instrucción,"Instrucción General N°3",3,8.05.2009,"Diario Oficial
16.05.2009","Sin modificaciones","Sí","Instructivo con Índice de Actos y Documentos Calificados como Secretos y Reservados"
Instrucción,"Instrucción General N°2",2,28.04.2009,"Diario Oficial
16.05.2009","Sin modificaciones","Sí","Desginación de Enalces"
Instrucción,"Instrucción General N°1",1,15.04.2009,"Diario Oficial
16.05.2009","Sin modificaciones","Sí","Reclamos dirigidos al Consejo para la Transparencia presentados en las gobernaciones"
Tipo,"Denominación",N°,Fecha,"Medio de publicación y fecha","Fecha de última actualización","Efectos Generales","Descripción del objeto del acto"
Acuerdo,"",S/N,20.06.2013,"Diario Oficial 20.06.2013","Sin modificaciones","Sí","Acuerdo del Consejo para la Transparencia que delega ciertas facultades en la autoridad y funcionarios que indica con el objeto de agilizar la tramitación de los casos que deba conocer."
Acuerdo,"Acuerdo del Consejo para la Transparencia que delega ciertas facultades en la autoridad y funcionarios que indica",S/N,21.09.2012,"Diario Oficial
21.09.2012","Sin modificaciones","Sí","Acuerdo del Consejo para la Transparencia que delega ciertas facultades en la autoridad y funcionarios que indica con el objeto de agilizar la tramitación de los casos que deba conocer."
Acuerdo,"Acuerdo que complementa la Instrucción General N°10, sobre el procedimiento administrativo de acceso a la información, en lo relativo a su fiscalización",S/N,03.02.2012,"Diario Oficial
17.02.2012","Sin modificaciones","Sí","Prorroga hasta el 30.06.2012 la fiscalización de los puntos cuyo cumplimiento exija modificar los sistemas informáticos actualmente empleados por los organismos públicos para gestionar el procedimiento de acceso a la información."
